Year,Artist,Track,USA,NON USA,Nom,Win,Youtube,M,F,D,I,Alternative rock,Big Band,Blues,Blues rock,Breakbeat,Chanson française,Church music,Classical,Concerto,Country,Country rock,Dance Pop,Disco,Dubstep,Easy Listening,EDM,Electronica,Electro Pop,Folk,Funk,Gospel,Hard rock,Hip Hop,Indie rock,Jazz,Latin Pop,Metal,New Wave,Pop,Pop Rock,R&B Nu Soul,Reggae,Reggaeton,Rock,Rock N Roll,Rock New Wave,Salsa - Afro Cuban,Samba Bossa,Soul,Soul Jazz,Speech,Swing,Traditional pop,Vocal jazz,World,,,,,,
1973,Roberta Flack,The First Time Ever I Saw Your Face,1,,,x,https://www.youtube.com/watch?v=VqW-eO3jTVU,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,3",,,"0,6","0,9",,,,,,,
1973,Gilbert O'Sullivan,Alone Again (Naturally),,1,x,,https://www.youtube.com/watch?v=8ELnhjGw4Zs,1,,,,,,,,,,,,,,,,,,"0,4",,,,"0,7",,,,,,,,,,1,,,,,,,,,,,,,,"0,6",,,,,,,,
1973,Don McLean,American Pie,1,,x,,https://www.youtube.com/watch?v=iX_TFkut1PM,1,,,,,,,,,,,,,"0,4",,,,,,,,,"0,7",,,,,,,,,,"0,7",1,,,,,"0,3",,,,,,,,,,,,,,,,
1973,Neil Diamond,Song Sung Blue,1,,x,,https://www.youtube.com/watch?v=1cqy4bmYOBI,1,,,,,,,,,,,"0,3","0,3",,,,,,,,,,"0,7",,,,,,,,,,1,"0,4",,,,,,,,,,,,,"0,7",,,,,,,,
1973,Michel Legrand,The Summer Knows,,1,x,,https://www.youtube.com/watch?v=ez26Y0cM1rM,,,,1,,,,,,,,1,,,,,,,"0,4",,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,,,,
1973,Nilsson,Without You,1,,x,,https://www.youtube.com/watch?v=G-ZDKirjQgM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,3",,,,,,,,,,,,,"0,2",,,,,,,,
1974,Roberta Flack,Killing Me Softly with His Song,1,,,x,https://www.youtube.com/watch?v=l2n167F0eBc,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,1,,,,"0,3","0,4",,,,,,,
1974,Charlie Rich,Behind Closed Doors,1,,x,,https://www.youtube.com/watch?v=WHaLjPP4bok,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,
1974,Stevie Wonder,You Are the Sunshine of My Life,1,,x,,https://www.youtube.com/watch?v=SbenaOqv4yQ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,1,,,,,,,,,,,,
1974,Carly Simon,You're So Vain,1,,x,,https://www.youtube.com/watch?v=cleCtBP0o5Y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,7",,,,"0,4",,,,,,,,,,,,,,,,,
1974,Dawn featuring Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,1,,x,,https://www.youtube.com/watch?v=PxG9XFqHSFw,,,1,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,1,"0,5",,,,,,,,,,,,,,,,,,,,,
1974,Jim Croce,"Bad, Bad Leroy Brown",1,,x,,https://www.youtube.com/watch?v=QvwDohEEQ1E,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"0,8",1,,,,"0,5","0,5",,,,,,,,,,,,,,,,
1975,Barbra Streisand,The Way We Were,1,,,x,https://www.youtube.com/watch?v=BJjVlEG8WHM,,1,,,,,,,,,,,"0,3",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,"0,7",,,,,,,,
1975,Roberta Flack,Feel Like Makin' Love,1,,x,,https://www.youtube.com/watch?v=ySlLq9t2qgc,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,1,,,,,,,,,,,,
1975,Olivia Newton-John,I Honestly Love You,,1,x,,https://www.youtube.com/watch?v=bCcKg2asm9k,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,"0,4",,,,,,,,
1975,Maria Muldaur,Midnight at the Oasis,1,,x,,https://www.youtube.com/watch?v=3gKnnb24Eso,,1,,,,,,,,,,,,"0,3",,,,,,,,,"0,6",,,,,,,,,,1,"0,5",,,,,,,,,,,,,,,,,,,,,
1975,Helen Reddy,You and Me Against the World,,1,x,,https://www.youtube.com/watch?v=4sPgu3nGDrk,,1,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,,,,,1,,,,,,,,
1975,Elton John,Don't Let the Sun Go Down on Me,,1,x,,https://www.youtube.com/watch?v=QxuqWG-Hxgo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,7",,,,,,,,,,,,,"0,3",,,,,,,,
1975,Joni Mitchell,Help Me,,1,x,,https://www.youtube.com/watch?v=XOEE-kR-Txg,,1,,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,,"0,5",,,,,,,,,"0,7","0,6",,,,,,,,,,,
1976,Judy Collins,Send in the Clowns,1,,,x,https://www.youtube.com/watch?v=8L6KGuTr9TI,,1,,,,,,,,,,"0,3","0,4",,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,,,,,"0,9",,,,,,,,
1976,Janis Ian,At Seventeen,1,,x,,https://www.youtube.com/watch?v=In76XE4N_9w,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1976,Morris Albert,Feelings,,1,x,,https://www.youtube.com/watch?v=EbLBmru7BoM,1,,,,,,,,,,,"0,3","0,3",,,,,,,,,,"0,4",,,,,,,,,,1,,,,,,,,,,,,,,"0,6",,,,,,,,
1976,Captain & Tennille,Love Will Keep Us Together,1,,x,,https://www.youtube.com/watch?v=0aU57V6VBW0,,1,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,1,"0,7",,,,,,,,,,,,,,,,,,,,,
1976,Glen Campbell,Rhinestone Cowboy,1,,x,,https://www.youtube.com/watch?v=zH24TOGX374,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,"0,4",,,,,,,,
1976,Barry Manilow,Mandy,1,,x,,https://www.youtube.com/watch?v=aGfcD5qycQY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,4",,,,,,,,,,,,,"0,6",,,,,,,,
1976,The Eagles,Lyin' Eyes,1,,x,,https://www.youtube.com/watch?v=5-NlR54PqLw,1,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,"0,7",1,,,,"0,6",,,,,,,,,,,,,,,,,
1977,Barry Manilow,I Write the Songs,1,,,x,https://www.youtube.com/watch?v=934QpLtK05s,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,"0,4",,,,,,,,
1977,Starland Vocal Band,Afternoon Delight,1,,x,,https://www.youtube.com/watch?v=MFxHqdBRkmQ,,,1,,,,,,,,,,,"0,3",,,,,,,,,"0,4",,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
1977,Neil Sedaka,Breaking Up Is Hard to Do,1,,x,,https://www.youtube.com/watch?v=2M584bP_FeE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,5",,,,,"0,3",,,,"0,3",,,,"0,3",,,,,,,,
1977,George Benson,This Masquerade,1,,x,,https://www.youtube.com/watch?v=qRK1thBLVbk,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,1,"0,7",,,,,,,,,,,
1977,Gordon Lightfoot,The Wreck of the Edmund Fitzgerald,1,,x,,https://www.youtube.com/watch?v=PH0K6ojmGZA,1,,,,,,,"0,5",,,,,,,,,,,,,,,1,,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,,,,
1977,Paul Simon,50 Ways to Leave Your Lover,1,,x,,https://www.youtube.com/watch?v=ABXtWqmArUU,1,,,,,,,,,,,,,,,,,,,,,,,"0,3",,,,,,,,,1,"0,7",,,,,,,,,"0,2",,,,,,,,,,,,
1977,Chicago,If You Leave Me Now,1,,x,,https://www.youtube.com/watch?v=h2ctzDAREDI,1,,,,,,,,,,,"0,2",,,,,,,,,,,"0,4",,,,,,,,,,"0,8","0,6",,,,,,,,,,,,,,,,,,,,,
1978,Barbra Streisand,Evergreen (Love Theme from A Star Is Born),1,,,x,https://www.youtube.com/watch?v=feXxH-oftuo,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,,,,,,,,,,,,,1,,,,,,,,
1978,Debby Boone,You Light Up My Life,1,,,x,https://www.youtube.com/watch?v=AOShEUn0aA4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,,,,,,,,,,,,,1,,,,,,,,
1978,Crystal Gayle,Don't It Make My Brown Eyes Blue,1,,x,,https://www.youtube.com/watch?v=uAVsi_ieztE,,1,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,,,,,"0,4","0,6",,,,,,,
1978,The Eagles,Hotel California,1,,x,,https://www.youtube.com/watch?v=oW4sD12V4u8,1,,,,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,,,"0,6",,,,,,,,,,,,,,,,,
1978,Carly Simon,Nobody Does It Better,1,,x,,https://www.youtube.com/watch?v=uWWwKDttHnM,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,7",,,,,,,,,,,,,"0,4",,,,,,,,
1978,Glen Campbell,Southern Nights,1,,x,,https://www.youtube.com/watch?v=arFyd1A5-uM,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
1978,Linda Ronstadt,Blue Bayou,1,,x,,https://www.youtube.com/watch?v=_qqvdOwoN-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,Billy Joel,Just the Way You Are,1,,,x,https://www.youtube.com/watch?v=HaA3YZ6QdJU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,4",,,,,,,,,,,,,"0,4",,,,,,,,
1979,Bee Gees,Stayin' Alive,1,,x,,https://www.youtube.com/watch?v=fNFzfwLM72c,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,,,,,
1979,The Commodores,Three Times a Lady,1,,x,,https://www.youtube.com/watch?v=3qTPVS1uiQ0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,"0,7",,,,,,,,,,,,
1979,Neil Diamond & Barbra Streisand,You Don't Bring Me Flowers,1,,x,,https://www.youtube.com/watch?v=Z3yu2c-0_w4,,,1,,,,,,,,,"0,3",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,"0,8",,,,,,,,
1979,Anne Murray,You Needed Me,1,,x,,https://www.youtube.com/watch?v=-X79Jko9bBI,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,"0,6",,,,,,,,
1979,Gerry Rafferty,Baker Street,,1,x,,https://www.youtube.com/watch?v=Fo6aKnRnBxM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,Chuck Mangione,Feels So Good,1,,x,,https://www.youtube.com/watch?v=rXPaEm-Y3Wg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,The Doobie Brothers,What a Fool Believes,1,,,x,https://www.youtube.com/watch?v=exnHAdopRxA,1,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,,,,,,,"0,8","0,4",,,,,,,,,"0,7",,,,,,,,,,,,
1980,"Earth, Wind & Fire",After the Love Has Gone,1,,x,,https://www.youtube.com/watch?v=CUCLNPOjPZw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,1,,,,,,,,,,,,
1980,Rickie Lee Jones,Chuck E.'s in Love,1,,x,,https://www.youtube.com/watch?v=OeWKfVkNla4,,1,,,,,,,,,,,,,,,,,,,,,"0,6","0,3",,,,,,,,,1,"0,6",,,,,,,,,"0,4",,,,,,,,,,,,
1980,Billy Joel,Honesty,1,,x,,https://www.youtube.com/watch?v=R4gOIt-M02A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,8",,,,,,,,,,,,,"0,4",,,,,,,,
1980,Gloria Gaynor,I Will Survive,1,,x,,https://www.youtube.com/watch?v=FHhZPp08s74,,1,,,,"0,6",,,,,,,,,,,1,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,"0,6",,,,,,,,,,,,
1980,The Doobie Brothers,Minute by Minute,1,,x,,https://www.youtube.com/watch?v=Rq-7NgH-hcs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8","0,4",,,,,,,,,"0,7","0,3",,,,,,,,,,,
1980,Peaches & Herb,Reunited,1,,x,,https://www.youtube.com/watch?v=Bu3OQFCsKXQ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4",,"0,4",,,,,,,,1,,,,,,,,,,,,
1980,Kenny Rogers,She Believes in Me,1,,x,,https://www.youtube.com/watch?v=FE19WzuQ4J0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,9",,,,,,,,,,,,,,"0,9",,,,,,,,
1980,Kenny Rogers,The Gambler,1,,x,,https://www.youtube.com/watch?v=7hx4gdlfamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Christopher Cross,Sailing,1,,,x,https://www.youtube.com/watch?v=IST-GfqUwDA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,7",,,,,,,,,,,,,"0,3",,,,,,,,
1981,Irene Cara,Fame,1,,x,,https://www.youtube.com/watch?v=ynZCDm0IEVM,,1,,,,,,,,,,,,,,1,"0,8",,,,,,,,,,,,,,,,"0,6","0,6",,,,,,,,,,,,,,,,,,,,,
1981,Bette Midler,The Rose,1,,x,,https://www.youtube.com/watch?v=FzJMIUhFw7Q,,1,,,,,,,,,,,,,,,,,,,,,,,"0,3",,,,,,,,1,,,,,,,,,,,,,,"0,4",,,,,,,,
1981,Kenny Rogers,Lady,1,,x,,https://www.youtube.com/watch?v=Pq96IgKLf_k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,4",,,,,,,,,,,,,"0,5",,,,,,,,
1981,Frank Sinatra,"Theme from New York, New York",1,,x,,https://www.youtube.com/watch?v=gHPiIfEoy2Y,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"0,6",,,,"0,3",,,,,,,,,,,,,"0,4",1,"0,7",,,,,,,
1981,Barbra Streisand,Woman in Love,1,,x,,https://www.youtube.com/watch?v=hQLGCX8D-1Y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,3",,,,,,,,,,,,,"0,3",,,,,,,,
1982,Kim Carnes,Bette Davis Eyes,1,,,x,https://www.youtube.com/watch?v=BJ1dHM1ocIw,,1,,,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,"0,7",1,1,,,,"0,4",,,,,,,,,,,,,,,,,
1982,Christopher Cross,Arthur's Theme (Best That You Can Do),1,,x,,https://www.youtube.com/watch?v=WOBHXxiZyZM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,7",,,,,,,,,,,,,"0,3",,,,,,,,
1982,Diana Ross and Lionel Richie,Endless Love,1,,x,,https://www.youtube.com/watch?v=Qr_XIALxgbI,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"0,5",,,,"0,3",,,,,,,,
1982,"Grover Washington, Jr. with Bill Withers",Just the Two of Us,1,,x,,https://www.youtube.com/watch?v=6POZlJAZsok,,,1,,,,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,"0,4",,,,,,,,,,1,"0,3",,,,,,,,,,,
1982,Dolly Parton,9 to 5,1,,x,,https://www.youtube.com/watch?v=E4OzdyxbOuU,,1,,,,"0,4",,,,,,,,,,,,,,,,,,"0,5",,,,,"0,4",,,,"0,4",,,,,,,,,,"0,9","0,6",,,,,,,,,,,
1982,John Lennon,(Just Like) Starting Over,,1,x,,https://www.youtube.com/watch?v=pZCxyOcvp5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Willie Nelson,Always on My Mind ,1,,,x,https://www.youtube.com/watch?v=opwOBtgw-nw,1,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,,"0,7","0,7",,,,,,,,,,,,,"0,3",,,,,,,,
1983,Paul McCartney & Stevie Wonder,Ebony and Ivory,1,1,x,,https://www.youtube.com/watch?v=ycRnO-nECNw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,8",,,,,,,,,"0,5",,,,"0,4",,,,,,,,
1983,Toto,Rosanna,1,,x,,https://www.youtube.com/watch?v=K2O9ryz7Eik,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,6",,,,,,,,,,,,,,,,,
1983,Survivor,Eye of the Tiger,1,,x,,https://www.youtube.com/watch?v=FLZS3jQPnKw,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,"0,4",1,,,,"0,7",,,,,,,,,,,,,,,,,
1983,Donald Fagen,I.G.Y. (What a Beautiful World),1,,x,,https://www.youtube.com/watch?v=sogYgHlNnqo,,,1,,,,,,,,,,,,,,,,,,,,,"0,3",,,,,,,,,"0,6","0,7",,"0,3",,,,,,,"0,4","0,7",,,,,,,,,,,
1983,Joe Jackson,Steppin' Out,1,,x,,https://www.youtube.com/watch?v=PJwt2dxx9yg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Vangelis,Chariots of Fire,,1,x,,https://www.youtube.com/watch?v=8a-HfNE3EIo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,The Police,Every Breath You Take,,1,,x,https://www.youtube.com/watch?v=OMOGaugKpzs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",1,,,,"0,4",,"0,7",,,,,,,,,,,,,,,
1984,Lionel Ritchie,All Night Long (All Night),1,,x,,https://www.youtube.com/watch?v=5sBGUyUnqwM,1,,,,,,,,,,,,,,,,"0,8",,,,,,,,,,,,,,,,"0,7",,,,,,,,,,"0,7",,,,,,,,,,,,
1984,Michael Jackson,Beat It,1,,x,,https://www.youtube.com/watch?v=XDD9LpLyGiQ,1,,,,,,,,,,,,,,,1,"0,9",,,,,,,,,,,,,,,,"0,6","0,7",,,,,,,,,"0,4",,,,,,,,,,,,
1984,Michael Jackson,Billy Jean,1,,x,,https://www.youtube.com/watch?v=2Ss38PCpwtA,1,,,,,,,,,,,,,,,1,"0,9",,,,,,,"0,7",,,,,,,,,"0,4","0,4",,,,,,,,,"0,7",,,,,,,,,,,,
1984,Michael Sembello,Maniac,1,,x,,https://www.youtube.com/watch?v=6GCNUeTFSbA,1,,,,,,,,,,,,,,,1,,,,,,"0,4",,,,,,,,,,"0,6","0,6",1,,,,"0,4",,,,,,,,,,,,,,,,,
1984,Irene Cara,Flashdance... What a Feeling,1,,x,,https://www.youtube.com/watch?v=ILWSp0m9G2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Tina Turner,What's Love Got to Do with It,1,,,x,https://www.youtube.com/watch?v=Mh3h9DNHNOM,,1,,,,,,,,,,,,,,"0,4",,,,,,,,"0,3",,,,,,,,,"0,5","0,7",,"0,3",,,,,,,"0,7",,,,,,,,,,,,
1985,Phil Collins,Against All Odds (Take a Look at Me Now),,1,x,,https://www.youtube.com/watch?v=CkGg1bzfSys,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",1,,,,"0,5",,,,,,,,,,,,,,,,,
1985,Lionel Ritchie,Hello,1,,x,,https://www.youtube.com/watch?v=84RxK4N1wfE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8","0,4","0,4",,,,,,,,"0,5",,,,,,,,,,,,
1985,Stevie Wonder,I Just Called to Say I Love You,1,,x,,https://www.youtube.com/watch?v=1bGOgY1CmiU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,4",,,,,,,,,"0,5",,,,,,,,,,,,
1985,Cyndi Lauper,Time after Time,1,,x,,https://www.youtube.com/watch?v=VdQY7BusJNU,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3",1,"0,7",,,,,,,,,,,,,,,,,,,,,
1985,Chicago,Hard Habit to Break,1,,x,,https://www.youtube.com/watch?v=b7MwgByxPs8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Cyndi Lauper,Girls Just Want to Have Fun,1,,x,,https://www.youtube.com/watch?v=PIb6AZdTr-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Huey Lewis and the News,The Heart of Rock & Roll,1,,x,,https://www.youtube.com/watch?v=M7JVlpm0eRs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Bruce Springsteen,Dancing in the Dark,1,,x,,https://www.youtube.com/watch?v=129kuDCQtHs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,USA for Africa,We Are the World,1,,,x,https://www.youtube.com/watch?v=mIqhl0rH0Wc,,,1,,,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,1,"0,3",,,,,,,,,"0,5",,,,,,,,,,,,
1986,Dire Straits,Money for Nothing,,1,x,,https://www.youtube.com/watch?v=JRDgihVDEko,1,,,,,,,"0,3",,,,,,,,,,,,,,,,,,"0,3",,,,,,,"0,4",1,,,,"0,9",,,,,,,,,,,,,,,,,
1986,Don Henley,The Boys of Summer,1,,x,,https://www.youtube.com/watch?v=QWT90HzLF3U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6",1,,,,"0,7",,,,,,,,,,,,,,,,,
1986,Paul Young,Everytime You Go Away,,1,x,,https://www.youtube.com/watch?v=nfk6sCzRTbM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4","0,7",1,,,,"0,5",,,,,,,,,,,,,,,,,
1986,Foreigner,I Want to Know What Love Is,1,,x,,https://www.youtube.com/watch?v=raNGeq3_DtM,1,,,,,,,,,,,,,,,,,,,,,,,,"0,3",,,,,,,,"0,6",1,,,,"0,7",,,,,,,,,,,,,,,,,
1986,Huey Lewis and the News,The Power of Love ,1,,x,,https://www.youtube.com/watch?v=xiLr0Sz-tKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Bruce Springsteen,Born in the U.S.A. ,1,,x,,https://www.youtube.com/watch?v=lZD4ezDbbu4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Dionne Warwick & Friends ,That's What Friends Are For ,1,,,x,https://www.youtube.com/watch?v=HyTpu6BmE88,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",1,,,,,,,,,"0,6",,,,"0,3",,,,,,,,
1987,Peter Gabriel,Sledgehammer,,1,x,,https://www.youtube.com/watch?v=KkiqTmwEQ-U,1,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,"0,8","0,3",1,,,,"0,7",,,,,"0,6",,,,,,,,,,,,
1987,Robert Palmer,Addicted to Love,,1,x,,https://www.youtube.com/watch?v=wEBANKFGqkw,1,,,,,,,"0,6",,,,,,,,,,,,,,,,,,"0,7",,,,,,,,1,,,,"0,9","0,5",,,,,,,,,,,,,,,,
1987,Steve Winwood,Higher Love,,1,x,,https://www.youtube.com/watch?v=k9olaIio3l8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6","0,6",1,,,,,,,,,"0,3",,,,,,,,,,,,
1987,Paul Simon,Graceland,1,,x,,https://www.youtube.com/watch?v=H9M4XJXnCcw,1,,,,,,,,,,,,,,,,,,,,,,"0,3",,,,,,,,,,"0,6",1,,,,,,,,,,,,,,,"0,8",,,,,,
1987,Whitney Houston,Greatest Love of All,1,,x,,https://www.youtube.com/watch?v=IYzlVDlE72w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Los Lobos,La Bamba,1,,x,,https://www.youtube.com/watch?v=nLAWPrCUQQ0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,"0,8",1,,,,"0,5","0,6",,,,,,,,,,"0,3",,,,,,
1988,U2,I Still Haven't Found What I'm Looking For,,1,x,,https://www.youtube.com/watch?v=fo2Q-YH6vow,1,,,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6",1,,,,"0,8",,,,,,,,,,,,,,,,,
1988,Suzanne Vega,Luka,1,,x,,https://www.youtube.com/watch?v=AV0ffQcwKzY,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"0,8",,,,,,,,,,,,,,,,,,,,,,
1988,Whitney Houston,Didn't We Almost Have It All,1,,x,,https://www.youtube.com/watch?v=WVw3cyseR10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,4",,,,,,,,,"0,6",,,,"0,4",,,,,,,,
1988,Steve Winwood,Back in the High Life Again,,1,x,,https://www.youtube.com/watch?v=Adw772km7PQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Bobby McFerrin,"Don't Worry, Be Happy",1,,,x,https://www.youtube.com/watch?v=d-diB65scQU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0,5",,,,,,,"0,3",,,,,"0,4",,,,,,,
